"name","party","constituency","email","photo"
"Honourable
Leela Sharon Aheer","United Conservative Caucus","Chestermere-Strathmore","Chestermere.Strathmore@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0883.jpg"
"Tracy Allard","United Conservative Caucus","Grande Prairie","GrandePrairie@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0912.jpg"
"Mickey Amery","United Conservative Caucus","Calgary-Cross","Calgary.Cross@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0913.jpg"
"Jackie Armstrong-Homeniuk","United Conservative Caucus","Fort Saskatchewan-Vegreville","FortSaskatchewan.Vegreville@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0914.jpg"
"Drew Barnes","United Conservative Caucus","Cypress-Medicine Hat","Cypress.MedicineHat@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0816.jpg"
"Deron Bilous","New Democratic Party","Edmonton-Beverly-Clareview","Edmonton.BeverlyClareview@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0829.jpg"
"Member Jon Carson","New Democratic Party","Edmonton-West Henday","Edmonton.WestHenday@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0837.jpg"
"Joe Ceci","New Democratic Party","Calgary-Buffalo","Calgary.Buffalo@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0838.jpg"
"Honourable
Nathan Cooper","United Conservative Caucus","Olds-Didsbury-Three Hills","OldsDidsbury.ThreeHills@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0885.jpg"
"Honourable
Jason Copping","United Conservative Caucus","Calgary-Varsity","Calgary.Varsity@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0915.jpg"
"Lorne Dach","New Democratic Party","Edmonton-McClung","Edmonton.McClung@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0842.jpg"
"Thomas Dang","New Democratic Party","Edmonton-South","Edmonton.South@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0843.jpg"
"Jasvir Deol","New Democratic Party","Edmonton-Meadows","Edmonton.Meadows@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0909.jpg"
"Honourable
Devin Dreeshen","United Conservative Caucus","Innisfail-Sylvan Lake","Innisfail.SylvanLake@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0908.jpg"
"David Eggen","New Democratic Party","Edmonton-North West","Edmonton.Northwest@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0757.jpg"
"Mike Ellis","United Conservative Caucus","Calgary-West","Calgary.West@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0832.jpg"
"Richard Feehan","New Democratic Party","Edmonton-Rutherford","Edmonton.Rutherford@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0844.jpg"
"Tanya Fir","United Conservative Caucus","Calgary-Peigan","Calgary.Peigan@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0916.jpg"
"Kathleen Ganley","New Democratic Party","Calgary-Mountain View","Calgary.MountainView@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0846.jpg"
"Shane Getson","United Conservative Caucus","Lac Ste. Anne-Parkland","LacSteAnne.Parkland@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0917.jpg"
"Michaela Glasgo","United Conservative Caucus","Brooks-Medicine Hat","Brooks.MedicineHat@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0918.jpg"
