"name","party","constituency","email","photo"
"Pam Alexis","BC NDP","Abbotsford-Mission","pam.alexis.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Alexis-Pam.jpg"
"Brittny Anderson","BC NDP","Nelson-Creston","brittny.anderson.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Anderson-Brittny.jpg"
"Dan Ashton","BC Liberal Party","Penticton","dan.ashton.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Ashton-Dan.jpg"
"Michele Babchuk","BC NDP","North Island","michele.babchuk.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Babchuk-Michele.jpg"
"Brenda Bailey","BC NDP","Vancouver-False Creek","brenda.bailey.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Bailey-Brenda.jpg"
"Hon. Harry Bains","BC NDP","Surrey-Newton","harry.bains.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Bains-Harry.jpg"
"Bruce Banman","BC Liberal Party","Abbotsford South","bruce.banman.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Banman-Bruce.jpg"
"Hon. Lisa Beare","BC NDP","Maple Ridge-Pitt Meadows","lisa.beare.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/beare-Lisa.jpg"
"Garry Begg","BC NDP","Surrey-Guildford","garry.begg.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/begg-Garry.jpg"
"Mike Bernier","BC Liberal Party","Peace River South","mike.bernier.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Bernier-Mike.jpg"
"Shirley Bond","BC Liberal Party","Prince George-Valemount","shirley.bond.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Bond-Shirley.jpg"
"Jagrup Brar","BC NDP","Surrey-Fleetwood","jagrup.brar.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/brar-Jagrup.jpg"
