"party","constituency","province","language","email","photo"
"Conservative","Edmonton Manning","Alberta","English / French","Ziad.Aboultaif@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/AboultaifZiad_CPC.jpg"
"Conservative","Parry Sound—Muskoka","Ontario","English","Scott.Aitchison@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/AitchisonScott_CPC.jpg"
"Conservative","Central Okanagan—Similkameen—Nicola","British Columbia","English","Dan.Albas@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/AlbasDan_CPC.jpg"
"Liberal","Mississauga Centre","Ontario","English / French","Omar.Alghabra@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/AlghabraOmar_Lib.jpg"
"Conservative","Aurora—Oak Ridges—Richmond Hill","Ontario","English / French","Leona.Alleslev@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/AlleslevLeona_CPC.jpg"
"Conservative","Niagara West","Ontario","English","dean.allison@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/AllisonDean_CPC.jpg"
"Liberal","Pontiac","Quebec","English / French","William.Amos@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/AmosWilliam_Lib.jpg"
"Liberal","Oakville","Ontario","English / French","Anita.Anand@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/AnandAnita_Lib.jpg"
"Liberal","Scarborough—Rouge Park","Ontario","English / French","Gary.Anand@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/AnandasangareeGary_Lib.jpg"
"NDP","Timmins—James Bay","Ontario","English","charlie.angus@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/AngusCharlie_NDP.jpg"
"Conservative","North Okanagan—Shuswap","British Columbia","English","Mel.Arnold@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/ArnoldMel_CPC web.jpg"
"Liberal","Madawaska—Restigouche","New Brunswick","French / English","Rene.Arseneault@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/ArseneaultRené_Lib.jpg"
"Liberal","Nepean","Ontario","English / French","Chandra.Arya@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/AryaChandra_Lib.jpg"
"NDP","Churchill—Keewatinook Aski","Manitoba","English","niki.ashton@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/AshtonNiki_NDP.jpg"
"Green Party","Fredericton","New Brunswick","French / English","Jenica.Atwin@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/AtwinJenica_GP.jpg"
"NDP","Skeena—Bulkley Valley","British Columbia","English","Taylor.Bachrach@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BachrachTaylor_NDP.jpg"
"Liberal","Niagara Centre","Ontario","English","Vance.Badawey@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BadaweyVance_Lib.jpg"
"Liberal","Yukon","Yukon","English / French","Larry.Bagnell@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BagnellLarry_Lib.jpg"
"Liberal","Mississauga—Malton","Ontario","English","Navdeep.Bains@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BainsNavdeep_Lib.jpg"
"Liberal","Etobicoke Centre","Ontario","English","Yvan.Baker@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BakerYvan_Lib.jpg"
"Conservative","Niagara Falls","Ontario","English","Tony.Baldinelli@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BaldinelliTony_CPC.jpg"
"Conservative","Foothills","Alberta","English","John.Barlow@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BarlowJohn_CPC.jpg"
"Conservative","Leeds—Grenville—Thousand Islands and Rideau Lakes","Ontario","English","Michael.Barrett@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BarrettMichael_CPC.jpg"
"Bloc Québécois","Pierre-Boucher—Les Patriotes—Verchères","Quebec","French","Xavier.Barsalou-Duval@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BarsalouDuvalXavier_BQ.jpg"
"Liberal","Sydney—Victoria","Nova Scotia","English","Jaime.Battiste@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BattisteJaime_Lib.jpg"
"Bloc Québécois","La Pointe-de-l'Île","Quebec","French","Mario.Beaulieu@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BeaulieuMario_BQ.jpg"
"Liberal","Burnaby North—Seymour","British Columbia","English","Terry.Beech@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BeechTerry_Lib.jpg"
"Liberal","Outremont","Quebec","English / French","Rachel.Bendayan@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BendayanRachel_Lib.jpg"
