constituency	email	name	party
Restigouche West	gilles.lepage@gnb.ca	Gilles LePage 	L
Campbellton-Dalhousie	guy.arseneault@gnb.ca	Guy Arseneault 	L
Restigouche-Chaleur	daniel.guitard@gnb.ca	Hon. Daniel Guitard 	L
Bathurst West-Beresford	brian.kenny@gnb.ca	Brian Kenny 	L
Bathurst East-Nepisiguit-Saint-Isidore	denis.landry2@gnb.ca	Denis Landry 	L
Caraquet	isabelle.theriault@gnb.ca	Isabelle Thériault 	L
Shippagan-Lamèque-Miscou	robert.gauvin@gnb.ca	Robert Gauvin 	IND
Tracadie-Sheila	keith.chiasson@gnb.ca	Keith Chiasson 	L
Miramichi Bay-Neguac	lisa.harris@gnb.ca	Lisa Harris 	L
Miramichi	michelle.conroy@gnb.ca	Michelle Conroy  	PA
Southwest Miramichi-Bay du Vin	jake.stewart@gnb.ca	Hon. Jake Stewart 	PC
Kent North	kevin.a.arseneau@gnb.ca	Kevin Arseneau 	G
Kent South	benoit.bourque@gnb.ca	Benoît Bourque 	L
Shediac Bay-Dieppe		Vacant	
Shediac-Beaubassin-Cap-Pelé	jacques.j.leblanc@gnb.ca	Jacques LeBlanc 	L
Memramcook-Tantramar	megan.mitton@gnb.ca	Megan Mitton 	G
Dieppe	roger.l.melanson@gnb.ca	Roger Melanson 	L
Moncton East	monique.a.leblanc@gnb.ca	Monique LeBlanc 	L
Moncton Centre	robert.mckee@gnb.ca	Robert McKee 	L
Moncton South	cathy.rogers@gnb.ca	Cathy Rogers 	L
Moncton Northwest	ernie.steeves@gnb.ca	Hon. Ernie Steeves 	PC
Moncton Southwest	sherry.wilson@gnb.ca	Hon. Sherry Wilson 	PC
Riverview	bruce.fitch@gnb.ca	Hon. R. Bruce Fitch 	PC
Albert	mike.holland@gnb.ca	Hon. Mike Holland 	PC
Gagetown-Petitcodiac	ross.wetmore@gnb.ca	Hon. Ross Wetmore 	PC
Sussex-Fundy-St. Martins	bruce.northrup@gnb.ca	Bruce Northrup 	PC
Hampton	gary.crossman@gnb.ca	Gary Crossman 	PC
Quispamsis	blaine.higgs@gnb.ca	Hon. Blaine Higgs 	PC
Rothesay	hugh.flemming@gnb.ca	Hon. Hugh J. A. (Ted) Flemming, Q.C.	PC
Saint John East	glen.savoie@gnb.ca	Hon. Glen Savoie 	PC
Portland-Simonds	trevor.holder@gnb.ca	Hon. Trevor A. Holder 	PC
Saint John Harbour	gerry.lowe@gnb.ca	Gerry Lowe 	L
Saint John Lancaster	dorothy.shephard@gnb.ca	Hon. Dorothy Shephard 	PC
Kings Centre	bill.oliver@gnb.ca	Hon. Bill Oliver 	PC
Fundy-The Isles-Saint John West	andrea.andersonmason@gnb.ca	Hon. Andrea Anderson-Mason, Q.C. 	PC
Saint Croix		Vacant	
Oromocto-Lincoln-Fredericton	mary.wilson@gnb.ca	Hon. Mary E. Wilson 	PC
Fredericton-Grand Lake	kris.austin@gnb.ca	Kris Austin 	PA
New Maryland-Sunbury	jeff.carr@gnb.ca	Hon. Jeff Carr 	PC
Fredericton South	david.coon@gnb.ca	David Coon 	G
Fredericton North	stephen.horsman@gnb.ca	Stephen Horsman 	L
Fredericton-York	rick.desaulniers@gnb.ca	Rick DeSaulniers 	PA
Fredericton West-Hanwell	dominic.cardy@gnb.ca	Hon. Dominic Cardy 	PC
Carleton-York	carl.urquhart@gnb.ca	Hon. Carl Urquhart 	PC
Carleton	stewart.fairgrieve@gnb.ca	Stewart Fairgrieve 	PC
Carleton-Victoria	andrew.harvey@gnb.ca	Andrew Harvey 	L
Victoria-La Vallée	chuck.chiasson@gnb.ca	Chuck Chiasson 	L
Edmundston-Madawaska Centre	jean-claude.d'amours@gnb.ca	Jean-Claude 	L
Madawaska Les Lacs-Edmundston	francine.landry@gnb.ca	Francine Landry 	L
