"name","party","constituency","email","honorific"
"Carla Beck","New Democratic Party","Regina Lakeview","reginalakeview@ndpcaucus.sk.ca","Ms."
"Buckley Belanger","New Democratic Party","Athabasca","athabasca@ndpcaucus.sk.ca","Mr."
"Steven Bonk","Saskatchewan Party","Moosomin","stevenbonkmla@sasktel.net","Mr."
"Jennifer Bowes","New Democratic Party","Saskatoon University","saskatoonuniversity@ndpcaucus.sk.ca","Ms."
"Fred Bradshaw","Saskatchewan Party","Carrot River Valley","fbradshaw.mla@sasktel.net","Hon."
"David Buckingham","Saskatchewan Party","Saskatoon Westview","davidbuckinghammla@gmail.com","Mr."
"Lori Carr","Saskatchewan Party","Estevan","loricarrmla@sasktel.net","Hon."
"Ken Cheveldayoff","Saskatchewan Party","Saskatoon Willowgrove","ken.cheveldayoff.mla@sasktel.net","Mr."
"Jeremy Cockrill","Saskatchewan Party","The Battlefords","office@jeremycockrill.ca","Mr."
"Meara Conway","New Democratic Party","Regina Elphinstone-Centre","reginaelphinstonecentre@ndpcaucus.sk.ca","Ms."
"Terry Dennis","Saskatchewan Party","Canora-Pelly","Canora.PellyMLA@sasktel.net","Mr."
"Mark Docherty","Saskatchewan Party","Regina Coronation Park","markdochertymla@sasktel.net","Mr."
"Ryan Domotor","Saskatchewan Party","Cut Knife-Turtleford","domotor.mla@sasktel.net","Mr."
"Dustin Duncan","Saskatchewan Party","Weyburn-Big Muddy","dduncan.mla@accesscomm.ca","Hon."
"Bronwyn Eyre","Saskatchewan Party","Saskatoon Stonebridge-Dakota","bronwyn.eyre.mla@sasktel.net","Hon."
"Muhammad Fiaz","Saskatchewan Party","Regina Pasqua","mfiaz.mla@sasktel.net","Mr."
"Ken Francis","Saskatchewan Party","Kindersley","kfrancismla@gmail.com","Mr."
"Marv Friesen","Saskatchewan Party","Saskatoon Riversdale","marvfriesen@sasktel.net","Mr."
"Todd Goudy","Saskatchewan Party","Melfort","goudymla@gmail.com","Mr."
"Gary Grewal","Saskatchewan Party","Regina Northeast","garygrewalmla@sasktel.net","Mr."
"Joe Hargrave","Saskatchewan Party","Prince Albert Carlton","pacarltonmla@sasktel.net","Mr."
"Donna Harpauer","Saskatchewan Party","Humboldt-Watrous","humboldtwatrousmla@sasktel.net","Hon."
"Daryl Harrison","Saskatchewan Party","Cannington","canningtonconstituency@sasktel.net","Mr."
"Jeremy Harrison","Saskatchewan Party","Meadow Lake","jharrisonmla@sasktel.net","Hon."
"Everett Hindley","Saskatchewan Party","Swift Current","everettmla@sasktel.net","Hon."
"Terry Jenson","Saskatchewan Party","Martensville-Warman","office@terryjenson.ca","Mr."
"Warren Kaeding","Saskatchewan Party","Melville-Saltcoats","warrenkaedingmla@sasktel.net","Hon."
"Travis Keisig","Saskatchewan Party","Last Mountain-Touchwood","lastmountaintouchwood.mla@sasktel.net","Mr."
"Delbert Kirsch","Saskatchewan Party","Batoche","batochemla@sasktel.net","Mr."
"Lisa Lambert","Saskatchewan Party","Saskatoon Churchill-Wildwood","mla@lisalambert.ca","Ms."
"Greg Lawrence","Saskatchewan Party","Moose Jaw Wakamow","greglawrencemla@sasktel.net","Mr."
