"name","party","constituency","email","photo","link"
"Barbara Adams","PC","Cole Harbour-Eastern Passage","barbadamsmla@gmail.com","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/BarbaraAdams-Thumb_0.jpg?itok=h5vX9DhO","https://nslegislature.ca/members/profiles/barbara-adams"
"Honourable Patricia Arab","Liberal","Fairview-Clayton Park","info@patriciaarab.ca","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/Arab_CNS.jpg?itok=hAdVLCUE","https://nslegislature.ca/members/profiles/patricia-arab"
"Keith Bain","PC","Victoria-The Lakes","keithbainmla@bellaliant.com","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/BAIN_Keith_th.jpg?itok=axzRnpJg","https://nslegislature.ca/members/profiles/keith-bain"
"Gary Burrill","NDP","Halifax Chebucto","garyburrillmla@gmail.com","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/GaryBurrill-Thumb.jpg?itok=5qyY_lKK","https://nslegislature.ca/members/profiles/gary-burrill"
"Honourable Karen Lynn Casey","Liberal","Colchester North","karencasey@eastlink.ca","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/Casey_CNS.jpg?itok=JjozB2Ip","https://nslegislature.ca/members/profiles/karen-casey"
"Claudia Chender","NDP","Dartmouth South","claudiachendermla@gmail.com","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/Chender_CNS1.jpg?itok=gRfGKiYp","https://nslegislature.ca/members/profiles/claudia-chender"
"Honourable Zach Churchill","Liberal","Yarmouth","ca@zachchurchill.com","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/Churchill-2.jpg?itok=ktyPRbb_","https://nslegislature.ca/members/profiles/zach-churchill"
"Honourable Keith Colwell","Liberal","Preston-Dartmouth","keithcolwell@eastlink.ca","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/KiethColwell-Thumb.jpg?itok=bD0bl-4J","https://nslegislature.ca/members/profiles/keith-colwell"
"Brian Comer","PC","Sydney River-Mira-Louisbourg","Brian.Comer@novascotia.ca","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/ComerBrian_thumbnail.jpg?itok=BsWrjGFB","https://nslegislature.ca/members/profiles/brian-comer"
"Kendra Coombes","NDP","Cape Breton Centre","kendracoombesmla@gmail.com","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/kendra-coombes-3x2-v2.jpg?itok=SI0SKMzy","https://nslegislature.ca/members/profiles/kendra-coombes"
